Artikel-Nr	Artikelname	Einzelpreis	Anzahl	Rabatt	Bestelldatum	Kategoriename	Firma	Land	Nachname
72	Mozzarella di Giovanni	34,76	6	0%	04.08.2023	Milchprodukte	Vins et alcools Baron	Frankreich	Buchanan
11	Queso Cabrales	16,33	12	0%	04.08.2023	Milchprodukte	Vins et alcools Évêque 	Frankreich	Buchanan
42	Singaporean Hokkien Fried Mee	10,09	12	0%	04.08.2023	Getreideprodukte	Vins et alcools Évêque 	Frankreich	Buchanan
72	Mozzarella di Giovanni	34,76	6	0%	04.08.2023	Milchprodukte	Vins et alcools Évêque 	Frankreich	Buchanan
14	Tofu	23,57	10	0%	05.08.2023	Naturprodukte	Toms Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	45,92	42	0%	05.08.2023	Naturprodukte	Toms Spezialitäten	Deutschland	Suyama
14	Tofu	23,57	10	0%	05.08.2023	Naturprodukte	Franks Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	45,92	42	0%	05.08.2023	Naturprodukte	Franks Spezialitäten	Deutschland	Suyama
14	Tofu	23,57	10	0%	05.08.2023	Naturprodukte	Petras Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	45,92	42	0%	05.08.2023	Naturprodukte	Petras Spezialitäten	Deutschland	Suyama
14	Tofu	23,57	10	0%	05.08.2023	Naturprodukte	Norberts Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	45,92	42	0%	05.08.2023	Naturprodukte	Norberts Spezialitäten	Deutschland	Suyama
1	Chai	21,78	22	0%	07.08.2023	Getränke	Mère Paillarde	Kanada	Peacock
77	Original Frankfurter grüne Soße	14	62	5%	07.08.2023	Gewürze	Mère Paillarde	Kanada	Peacock
3	Aniseed Syrup	13,26	16	0%	07.08.2023	Gewürze	Vaffeljernet	Dänemark	Davolio
7	Uncle Bob's Organic Dried Pears	40,54	11	0%	07.08.2023	Naturprodukte	Vaffeljernet	Dänemark	Davolio
54	Tourtière	9,07	51	0%	07.08.2023	Fleischprodukte	Vaffeljernet	Dänemark	Davolio
41	Jack's New England Clam Chowder	10,26	12	0%	08.08.2023	Meeresfrüchte	Hanari Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	50,5	36	15%	08.08.2023	Naturprodukte	Hanari Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	17,15	17	15%	08.08.2023	Gewürze	Hanari Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	17,19	8	5%	08.08.2023	Getreideprodukte	Victuailles en stock	Frankreich	Leverling
57	Ravioli Angelo	18,83	17	5%	08.08.2023	Getreideprodukte	Victuailles en stock	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	20,89	21	0%	08.08.2023	Gewürze	Victuailles en stock	Frankreich	Leverling
15	Genen Shouyu	18,78	27	5%	08.08.2023	Gewürze	Lehmanns Marktstand	Deutschland	Leverling
26	Gumbär Gummibärchen	41,72	7	5%	08.08.2023	Süßwaren	Lehmanns Marktstand	Deutschland	Leverling
41	Jack's New England Clam Chowder	10,26	12	0%	08.08.2023	Meeresfrüchte	Gomez Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	50,5	36	15%	08.08.2023	Naturprodukte	Gomez Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	17,15	17	15%	08.08.2023	Gewürze	Gomez Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	17,19	8	5%	08.08.2023	Getreideprodukte	Victuailles en gros	Frankreich	Leverling
57	Ravioli Angelo	18,83	17	5%	08.08.2023	Getreideprodukte	Victuailles en gros	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	20,89	21	0%	08.08.2023	Gewürze	Victuailles en gros	Frankreich	Leverling
41	Jack's New England Clam Chowder	10,26	12	0%	08.08.2023	Meeresfrüchte	Sanchez Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	50,5	36	15%	08.08.2023	Naturprodukte	Sanchez Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	17,15	17	15%	08.08.2023	Gewürze	Sanchez Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	17,19	8	5%	08.08.2023	Getreideprodukte	Victuailles des Provonce	Frankreich	Leverling
57	Ravioli Angelo	18,83	17	5%	08.08.2023	Getreideprodukte	Victuailles des Provonce	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	20,89	21	0%	08.08.2023	Gewürze	Victuailles des Provonce	Frankreich	Leverling
41	Jack's New England Clam Chowder	10,26	12	0%	08.08.2023	Meeresfrüchte	Rivera Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	50,5	36	15%	08.08.2023	Naturprodukte	Rivera Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	17,15	17	15%	08.08.2023	Gewürze	Rivera Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	17,19	8	5%	08.08.2023	Getreideprodukte	Victuailles des Langdoc	Frankreich	Leverling
57	Ravioli Angelo	18,83	17	5%	08.08.2023	Getreideprodukte	Victuailles des Langdoc	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	20,89	21	0%	08.08.2023	Gewürze	Victuailles des Langdoc	Frankreich	Leverling
20	Sir Rodney's Marmalade	70,78	42	5%	09.08.2023	Süßwaren	Suprêmes délices	Belgien	Peacock
33	Geitost	2,58	27	5%	09.08.2023	Milchprodukte	Suprêmes délices	Belgien	Peacock
60	Camembert Pierrot	40,59	42	0%	09.08.2023	Milchprodukte	Suprêmes délices	Belgien	Peacock
20	Sir Rodney's Marmalade	120,12	22	20%	09.08.2023	Süßwaren	Lehmanns Marktstand	Deutschland	King
69	Gudbrandsdalsost	50,71	22	20%	09.08.2023	Milchprodukte	Lehmanns Marktstand	Deutschland	King
76	Lakkalikööri	25,39	5	20%	09.08.2023	Getränke	Lehmanns Marktstand	Deutschland	King
52	Filo Mix	9,06	26	0%	09.08.2023	Getreideprodukte	Old World Delicatessen	USA	Leverling
58	Escargots de Bourgogne	15,11	31	0%	09.08.2023	Meeresfrüchte	Old World Delicatessen	USA	Leverling
20	Sir Rodney's Marmalade	70,78	42	5%	09.08.2023	Süßwaren	Suprêmes Épicerie fine	Belgien	Peacock
33	Geitost	2,58	27	5%	09.08.2023	Milchprodukte	Suprêmes Épicerie fine	Belgien	Peacock
60	Camembert Pierrot	40,59	42	0%	09.08.2023	Milchprodukte	Suprêmes Épicerie fine	Belgien	Peacock
20	Sir Rodney's Marmalade	70,78	42	5%	09.08.2023	Süßwaren	Le petite bistro	Belgien	Peacock
33	Geitost	2,58	27	5%	09.08.2023	Milchprodukte	Le petite bistro	Belgien	Peacock
60	Camembert Pierrot	40,59	42	0%	09.08.2023	Milchprodukte	Le petite bistro	Belgien	Peacock
20	Sir Rodney's Marmalade	70,78	42	5%	09.08.2023	Süßwaren	Le grande bistro	Belgien	Peacock
33	Geitost	2,58	27	5%	09.08.2023	Milchprodukte	Le grande bistro	Belgien	Peacock
60	Camembert Pierrot	40,59	42	0%	09.08.2023	Milchprodukte	Le grande bistro	Belgien	Peacock
31	Gorgonzola Telino	10,06	22	0%	10.08.2023	Milchprodukte	Hanari Carnes	Brasilien	Leverling
39	Chartreuse verte	18,46	44	0%	10.08.2023	Getränke	Hanari Carnes	Brasilien	Leverling
49	Maxilaku	23,2	42	0%	10.08.2023	Süßwaren	Hanari Carnes	Brasilien	Leverling
35	Steeleye Stout	25,75	31	25%	10.08.2023	Getränke	Ernst Handel	Österreich	Fuller
61	Sirop d'érable	34,15	121	25%	10.08.2023	Gewürze	Ernst Handel	Österreich	Fuller
69	Gudbrandsdalsost	47,95	66	25%	10.08.2023	Milchprodukte	Ernst Handel	Österreich	Fuller
31	Gorgonzola Telino	10,06	22	0%	10.08.2023	Milchprodukte	Gomez Carnes	Brasilien	Leverling
39	Chartreuse verte	18,46	44	0%	10.08.2023	Getränke	Gomez Carnes	Brasilien	Leverling
49	Maxilaku	23,2	42	0%	10.08.2023	Süßwaren	Gomez Carnes	Brasilien	Leverling
35	Steeleye Stout	25,75	31	25%	10.08.2023	Getränke	Ludwig Handel	Österreich	Fuller
61	Sirop d'érable	34,15	121	25%	10.08.2023	Gewürze	Ludwig Handel	Österreich	Fuller
69	Gudbrandsdalsost	47,95	66	25%	10.08.2023	Milchprodukte	Ludwig Handel	Österreich	Fuller
31	Gorgonzola Telino	10,06	22	0%	10.08.2023	Milchprodukte	Sanchez Carnes	Brasilien	Leverling
39	Chartreuse verte	18,46	44	0%	10.08.2023	Getränke	Sanchez Carnes	Brasilien	Leverling
49	Maxilaku	23,2	42	0%	10.08.2023	Süßwaren	Sanchez Carnes	Brasilien	Leverling
35	Steeleye Stout	25,75	31	25%	10.08.2023	Getränke	Wolf Handel	Österreich	Fuller
61	Sirop d'érable	34,15	121	25%	10.08.2023	Gewürze	Wolf Handel	Österreich	Fuller
69	Gudbrandsdalsost	47,95	66	25%	10.08.2023	Milchprodukte	Wolf Handel	Österreich	Fuller
31	Gorgonzola Telino	10,06	22	0%	10.08.2023	Milchprodukte	Rivera Carnes	Brasilien	Leverling
39	Chartreuse verte	18,46	44	0%	10.08.2023	Getränke	Rivera Carnes	Brasilien	Leverling
49	Maxilaku	23,2	42	0%	10.08.2023	Süßwaren	Rivera Carnes	Brasilien	Leverling
35	Steeleye Stout	25,75	31	25%	10.08.2023	Getränke	Bauer Handel	Österreich	Fuller
61	Sirop d'érable	34,15	121	25%	10.08.2023	Gewürze	Bauer Handel	Österreich	Fuller
69	Gudbrandsdalsost	47,95	66	25%	10.08.2023	Milchprodukte	Bauer Handel	Österreich	Fuller
24	Guaraná Fantástica	4,84	17	15%	11.08.2023	Getränke	Chop-suey Chinese	Schweiz	Buchanan
55	Pâté chinois	27,05	22	15%	11.08.2023	Fleischprodukte	Chop-suey Chinese	Schweiz	Buchanan
74	Longlife Tofu	11,7	23	0%	11.08.2023	Naturprodukte	Chop-suey Chinese	Schweiz	Buchanan
24	Guaraná Fantástica	6,7	37	20%	11.08.2023	Getränke	Piccolo und mehr	Österreich	King
57	Ravioli Angelo	26,56	21	0%	11.08.2023	Getreideprodukte	Piccolo und mehr	Österreich	King
65	Louisiana Fiery Hot Pepper Sauce	23,48	14	20%	11.08.2023	Gewürze	Piccolo und mehr	Österreich	King
56	Gnocchi di nonna Alice	50,42	7	20%	11.08.2023	Getreideprodukte	White Clover Markets	USA	Callahan
63	Vegie-spread	59,08	26	20%	11.08.2023	Gewürze	White Clover Markets	USA	Callahan
75	Rhönbräu Klosterbier	9,69	31	20%	11.08.2023	Getränke	White Clover Markets	USA	Callahan
24	Guaraná Fantástica	4,84	17	15%	11.08.2023	Getränke	Restaurant Lotus	Schweiz	Buchanan
55	Pâté chinois	27,05	22	15%	11.08.2023	Fleischprodukte	Restaurant Lotus	Schweiz	Buchanan
74	Longlife Tofu	11,7	23	0%	11.08.2023	Naturprodukte	Restaurant Lotus	Schweiz	Buchanan
24	Guaraná Fantástica	4,84	17	15%	11.08.2023	Getränke	Restaurant Lotus	Schweiz	Buchanan
55	Pâté chinois	27,05	22	15%	11.08.2023	Fleischprodukte	Restaurant Lotus	Schweiz	Buchanan
74	Longlife Tofu	11,7	23	0%	11.08.2023	Naturprodukte	Restaurant Lotus	Schweiz	Buchanan
24	Guaraná Fantástica	4,84	17	15%	11.08.2023	Getränke	Restaurant Honkhong	Schweiz	Buchanan
55	Pâté chinois	27,05	22	15%	11.08.2023	Fleischprodukte	Restaurant Honkhong	Schweiz	Buchanan
74	Longlife Tofu	11,7	23	0%	11.08.2023	Naturprodukte	Restaurant Honkhong	Schweiz	Buchanan
2	Chang	16,69	20	0%	12.08.2023	Getränke	Richter Supermarkt	Schweiz	Dodsworth
16	Pavlova	15,19	36	0%	12.08.2023	Süßwaren	Richter Supermarkt	Schweiz	Dodsworth
36	Inlagd Sill	18,93	27	0%	12.08.2023	Meeresfrüchte	Richter Supermarkt	Schweiz	Dodsworth
59	Raclette Courdavault	64,11	32	0%	12.08.2023	Milchprodukte	Richter Supermarkt	Schweiz	Dodsworth
27	Schoggi Schokolade	53,12	52	0%	14.08.2023	Süßwaren	Rattlesnake Canyon Grocery	USA	Davolio
71	Fløtemysost	31,22	11	0%	14.08.2023	Milchprodukte	Rattlesnake Canyon Grocery	USA	Davolio
27	Schoggi Schokolade	53,12	52	0%	14.08.2023	Süßwaren	Goose Canyon Grocery	USA	Davolio
71	Fløtemysost	31,22	11	0%	14.08.2023	Milchprodukte	Goose Canyon Grocery	USA	Davolio
27	Schoggi Schokolade	53,12	52	0%	14.08.2023	Süßwaren	Small River Canyon Grocery	USA	Davolio
71	Fløtemysost	31,22	11	0%	14.08.2023	Milchprodukte	Small River Canyon Grocery	USA	Davolio
27	Schoggi Schokolade	53,12	52	0%	14.08.2023	Süßwaren	Death Valley Canyon Grocery	USA	Davolio
71	Fløtemysost	31,22	11	0%	14.08.2023	Milchprodukte	Death Valley Canyon Grocery	USA	Davolio
53	Perth Pasties	29,59	17	0%	15.08.2023	Fleischprodukte	Wellington Importadora	Brasilien	Leverling
77	Original Frankfurter grüne Soße	12,13	14	0%	15.08.2023	Gewürze	Wellington Importadora	Brasilien	Leverling
62	Tarte au sucre	64,89	10	0%	15.08.2023	Süßwaren	B's Beverages	Großbritannien	Suyama
53	Perth Pasties	29,59	17	0%	15.08.2023	Fleischprodukte	Sapateiro Importadora	Brasilien	Leverling
77	Original Frankfurter grüne Soße	12,13	14	0%	15.08.2023	Gewürze	Sapateiro Importadora	Brasilien	Leverling
53	Perth Pasties	29,59	17	0%	15.08.2023	Fleischprodukte	Pescador Importadora	Brasilien	Leverling
77	Original Frankfurter grüne Soße	12,13	14	0%	15.08.2023	Gewürze	Pescador Importadora	Brasilien	Leverling
53	Perth Pasties	29,59	17	0%	15.08.2023	Fleischprodukte	Moleiro Importadora	Brasilien	Leverling
77	Original Frankfurter grüne Soße	12,13	14	0%	15.08.2023	Gewürze	Moleiro Importadora	Brasilien	Leverling
27	Schoggi Schokolade	44,72	26	0%	16.08.2023	Süßwaren	HILARIÓN-Abastos	Venezuela	Peacock
39	Chartreuse verte	18,81	7	0%	16.08.2023	Getränke	HILARIÓN-Abastos	Venezuela	Peacock
77	Original Frankfurter grüne Soße	11,89	17	0%	16.08.2023	Gewürze	HILARIÓN-Abastos	Venezuela	Peacock
13	Konbu	7,12	62	0%	16.08.2023	Meeresfrüchte	HILARIÓN-Abastos	Venezuela	King
59	Raclette Courdavault	79,29	37	0%	16.08.2023	Milchprodukte	HILARIÓN-Abastos	Venezuela	King
54	Tourtière	8,84	5	0%	16.08.2023	Fleischprodukte	Hungry Coyote Import Store	USA	Peacock
73	Röd Kaviar	19,99	31	0%	16.08.2023	Meeresfrüchte	Hungry Coyote Import Store	USA	Peacock
27	Schoggi Schokolade	44,72	26	0%	16.08.2023	Süßwaren	Gomez-Abastos	Venezuela	Peacock
39	Chartreuse verte	18,81	7	0%	16.08.2023	Getränke	Gomez-Abastos	Venezuela	Peacock
77	Original Frankfurter grüne Soße	11,89	17	0%	16.08.2023	Gewürze	Gomez-Abastos	Venezuela	Peacock
13	Konbu	7,12	62	0%	16.08.2023	Meeresfrüchte	Gomez-Abastos	Venezuela	King
59	Raclette Courdavault	79,29	37	0%	16.08.2023	Milchprodukte	Gomez-Abastos	Venezuela	King
27	Schoggi Schokolade	44,72	26	0%	16.08.2023	Süßwaren	Sanchez-Abastos	Venezuela	Peacock
39	Chartreuse verte	18,81	7	0%	16.08.2023	Getränke	Sanchez-Abastos	Venezuela	Peacock
77	Original Frankfurter grüne Soße	11,89	17	0%	16.08.2023	Gewürze	Sanchez-Abastos	Venezuela	Peacock
13	Konbu	7,12	62	0%	16.08.2023	Meeresfrüchte	Sanchez-Abastos	Venezuela	King
59	Raclette Courdavault	79,29	37	0%	16.08.2023	Milchprodukte	Sanchez-Abastos	Venezuela	King
27	Schoggi Schokolade	44,72	26	0%	16.08.2023	Süßwaren	Rivera-Abastos	Venezuela	Peacock
39	Chartreuse verte	18,81	7	0%	16.08.2023	Getränke	Rivera-Abastos	Venezuela	Peacock
77	Original Frankfurter grüne Soße	11,89	17	0%	16.08.2023	Gewürze	Rivera-Abastos	Venezuela	Peacock
13	Konbu	7,12	62	0%	16.08.2023	Meeresfrüchte	Rivera-Abastos	Venezuela	King
59	Raclette Courdavault	79,29	37	0%	16.08.2023	Milchprodukte	Rivera-Abastos	Venezuela	King
2	Chang	15,39	52	20%	17.08.2023	Getränke	Ernst Handel	Österreich	Davolio
5	Chef Anton's Gumbo Mix	25,49	66	20%	17.08.2023	Gewürze	Ernst Handel	Österreich	Davolio
32	Mascarpone Fabioli	26,03	8	20%	17.08.2023	Milchprodukte	Ernst Handel	Österreich	Davolio
77	Original Frankfurter grüne Soße	16,8	6	25%	17.08.2023	Gewürze	Vaffeljernet	Dänemark	Callahan
2	Chang	15,39	52	20%	17.08.2023	Getränke	Ludwig Handel	Österreich	Davolio
5	Chef Anton's Gumbo Mix	25,49	66	20%	17.08.2023	Gewürze	Ludwig Handel	Österreich	Davolio
32	Mascarpone Fabioli	26,03	8	20%	17.08.2023	Milchprodukte	Ludwig Handel	Österreich	Davolio
2	Chang	15,39	52	20%	17.08.2023	Getränke	Wolf Handel	Österreich	Davolio
5	Chef Anton's Gumbo Mix	25,49	66	20%	17.08.2023	Gewürze	Wolf Handel	Österreich	Davolio
32	Mascarpone Fabioli	26,03	8	20%	17.08.2023	Milchprodukte	Wolf Handel	Österreich	Davolio
2	Chang	15,39	52	20%	17.08.2023	Getränke	Bauer Handel	Österreich	Davolio
5	Chef Anton's Gumbo Mix	25,49	66	20%	17.08.2023	Gewürze	Bauer Handel	Österreich	Davolio
32	Mascarpone Fabioli	26,03	8	20%	17.08.2023	Milchprodukte	Bauer Handel	Österreich	Davolio
21	Sir Rodney's Scones	11,79	12	0%	18.08.2023	Süßwaren	Centro comercial Moctezuma	Mexiko	Peacock
37	Gravad lax	27,71	3	0%	18.08.2023	Meeresfrüchte	Centro comercial Moctezuma	Mexiko	Peacock
48	Chocolade	13,02	8	10%	18.08.2023	Süßwaren	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
76	Lakkalikööri	23,27	12	10%	18.08.2023	Getränke	Furia Bacalhau e Frutos do Mar	Portugal	Davolio
22	Gustaf's Knäckebröd	29,81	49	0%	18.08.2023	Getreideprodukte	Save-a-lot Markets	USA	Callahan
49	Maxilaku	24,93	27	5%	18.08.2023	Süßwaren	Save-a-lot Markets	USA	Callahan
21	Sir Rodney's Scones	11,79	12	0%	18.08.2023	Süßwaren	Centro comercial Miguel Hidalgo	Mexiko	Peacock
37	Gravad lax	27,71	3	0%	18.08.2023	Meeresfrüchte	Centro comercial Miguel Hidalgo	Mexiko	Peacock
21	Sir Rodney's Scones	11,79	12	0%	18.08.2023	Süßwaren	Centro comercial Imperial	Mexiko	Peacock
37	Gravad lax	27,71	3	0%	18.08.2023	Meeresfrüchte	Centro comercial Imperial	Mexiko	Peacock
21	Sir Rodney's Scones	11,79	12	0%	18.08.2023	Süßwaren	Centro comercial Benito Juárez	Mexiko	Peacock
37	Gravad lax	27,71	3	0%	18.08.2023	Meeresfrüchte	Centro comercial Benito Juárez	Mexiko	Peacock
41	Jack's New England Clam Chowder	10,81	17	25%	19.08.2023	Meeresfrüchte	Ottilies Käseladen	Deutschland	Peacock
57	Ravioli Angelo	16,6	52	0%	19.08.2023	Getreideprodukte	Ottilies Käseladen	Deutschland	Peacock
62	Tarte au sucre	51,62	16	25%	19.08.2023	Süßwaren	Ottilies Käseladen	Deutschland	Peacock
70	Outback Lager	15	22	25%	19.08.2023	Getränke	Ottilies Käseladen	Deutschland	Peacock
21	Sir Rodney's Scones	11,58	22	0%	19.08.2023	Süßwaren	Que Delícia	Brasilien	Peacock
35	Steeleye Stout	20,24	22	0%	19.08.2023	Getränke	Que Delícia	Brasilien	Peacock
41	Jack's New England Clam Chowder	10,81	17	25%	19.08.2023	Meeresfrüchte	Dieters Käseladen	Deutschland	Peacock
57	Ravioli Angelo	16,6	52	0%	19.08.2023	Getreideprodukte	Dieters Käseladen	Deutschland	Peacock
62	Tarte au sucre	51,62	16	25%	19.08.2023	Süßwaren	Dieters Käseladen	Deutschland	Peacock
70	Outback Lager	15	22	25%	19.08.2023	Getränke	Dieters Käseladen	Deutschland	Peacock
41	Jack's New England Clam Chowder	10,81	17	25%	19.08.2023	Meeresfrüchte	Ritas Käseladen	Deutschland	Peacock
57	Ravioli Angelo	16,6	52	0%	19.08.2023	Getreideprodukte	Ritas Käseladen	Deutschland	Peacock
62	Tarte au sucre	51,62	16	25%	19.08.2023	Süßwaren	Ritas Käseladen	Deutschland	Peacock
70	Outback Lager	15	22	25%	19.08.2023	Getränke	Ritas Käseladen	Deutschland	Peacock
41	Jack's New England Clam Chowder	10,81	17	25%	19.08.2023	Meeresfrüchte	Svens Käseladen	Deutschland	Peacock
57	Ravioli Angelo	16,6	52	0%	19.08.2023	Getreideprodukte	Svens Käseladen	Deutschland	Peacock
62	Tarte au sucre	51,62	16	25%	19.08.2023	Süßwaren	Svens Käseladen	Deutschland	Peacock
70	Outback Lager	15	22	25%	19.08.2023	Getränke	Svens Käseladen	Deutschland	Peacock
16	Pavlova	25,21	31	5%	21.08.2023	Süßwaren	Mère Paillarde	Kanada	Davolio
59	Raclette Courdavault	68,7	22	5%	21.08.2023	Milchprodukte	Mère Paillarde	Kanada	Davolio
60	Camembert Pierrot	46,06	72	5%	21.08.2023	Milchprodukte	Mère Paillarde	Kanada	Davolio
71	Fløtemysost	31,59	17	5%	21.08.2023	Milchprodukte	Mère Paillarde	Kanada	Davolio
5	Chef Anton's Gumbo Mix	24,04	13	20%	22.08.2023	Gewürze	Rattlesnake Canyon Grocery	USA	Callahan
7	Uncle Bob's Organic Dried Pears	26,81	17	0%	22.08.2023	Naturprodukte	Rattlesnake Canyon Grocery	USA	Callahan
56	Gnocchi di nonna Alice	37,53	4	0%	22.08.2023	Getreideprodukte	Rattlesnake Canyon Grocery	USA	Callahan
7	Uncle Bob's Organic Dried Pears	37,24	47	0%	22.08.2023	Naturprodukte	Save-a-lot Markets	USA	Buchanan
17	Alice Mutton	50,16	102	0%	22.08.2023	Fleischprodukte	Save-a-lot Markets	USA	Buchanan
33	Geitost	2,84	15	0%	22.08.2023	Milchprodukte	Save-a-lot Markets	USA	Buchanan
40	Boston Crab Meat	27,13	44	0%	22.08.2023	Meeresfrüchte	Save-a-lot Markets	USA	Buchanan
72	Mozzarella di Giovanni	45,71	13	0%	22.08.2023	Milchprodukte	Save-a-lot Markets	USA	Buchanan
4	Chef Anton's Cajun Seasoning	25,01	22	20%	22.08.2023	Gewürze	Tradição Hipermercados	Brasilien	Peacock
55	Pâté chinois	29,83	21	20%	22.08.2023	Fleischprodukte	Tradição Hipermercados	Brasilien	Peacock
62	Tarte au sucre	54,16	12	20%	22.08.2023	Süßwaren	Tradição Hipermercados	Brasilien	Peacock
5	Chef Anton's Gumbo Mix	24,04	13	20%	22.08.2023	Gewürze	Goose Canyon Grocery	USA	Callahan
7	Uncle Bob's Organic Dried Pears	26,81	17	0%	22.08.2023	Naturprodukte	Goose Canyon Grocery	USA	Callahan
56	Gnocchi di nonna Alice	37,53	4	0%	22.08.2023	Getreideprodukte	Goose Canyon Grocery	USA	Callahan
5	Chef Anton's Gumbo Mix	24,04	13	20%	22.08.2023	Gewürze	Small River Canyon Grocery	USA	Callahan
7	Uncle Bob's Organic Dried Pears	26,81	17	0%	22.08.2023	Naturprodukte	Small River Canyon Grocery	USA	Callahan
56	Gnocchi di nonna Alice	37,53	4	0%	22.08.2023	Getreideprodukte	Small River Canyon Grocery	USA	Callahan
5	Chef Anton's Gumbo Mix	24,04	13	20%	22.08.2023	Gewürze	Death Valley Canyon Grocery	USA	Callahan
7	Uncle Bob's Organic Dried Pears	26,81	17	0%	22.08.2023	Naturprodukte	Death Valley Canyon Grocery	USA	Callahan
56	Gnocchi di nonna Alice	37,53	4	0%	22.08.2023	Getreideprodukte	Death Valley Canyon Grocery	USA	Callahan
16	Pavlova	18,39	61	25%	23.08.2023	Süßwaren	Ernst Handel	Österreich	Dodsworth
24	Guaraná Fantástica	5,03	29	0%	23.08.2023	Getränke	Ernst Handel	Österreich	Dodsworth
30	Nord-Ost Matjeshering	30,94	61	25%	23.08.2023	Meeresfrüchte	Ernst Handel	Österreich	Dodsworth
74	Longlife Tofu	8,86	38	25%	23.08.2023	Naturprodukte	Ernst Handel	Österreich	Dodsworth
56	Gnocchi di nonna Alice	43,55	29	0%	23.08.2023	Getreideprodukte	Toms Spezialitäten	Deutschland	Peacock
16	Pavlova	18,39	61	25%	23.08.2023	Süßwaren	Ludwig Handel	Österreich	Dodsworth
24	Guaraná Fantástica	5,03	29	0%	23.08.2023	Getränke	Ludwig Handel	Österreich	Dodsworth
30	Nord-Ost Matjeshering	30,94	61	25%	23.08.2023	Meeresfrüchte	Ludwig Handel	Österreich	Dodsworth
74	Longlife Tofu	8,86	38	25%	23.08.2023	Naturprodukte	Ludwig Handel	Österreich	Dodsworth
56	Gnocchi di nonna Alice	43,55	29	0%	23.08.2023	Getreideprodukte	Franks Spezialitäten	Deutschland	Peacock
16	Pavlova	18,39	61	25%	23.08.2023	Süßwaren	Wolf Handel	Österreich	Dodsworth
24	Guaraná Fantástica	5,03	29	0%	23.08.2023	Getränke	Wolf Handel	Österreich	Dodsworth
30	Nord-Ost Matjeshering	30,94	61	25%	23.08.2023	Meeresfrüchte	Wolf Handel	Österreich	Dodsworth
74	Longlife Tofu	8,86	38	25%	23.08.2023	Naturprodukte	Wolf Handel	Österreich	Dodsworth
56	Gnocchi di nonna Alice	43,55	29	0%	23.08.2023	Getreideprodukte	Petras Spezialitäten	Deutschland	Peacock
16	Pavlova	18,39	61	25%	23.08.2023	Süßwaren	Bauer Handel	Österreich	Dodsworth
24	Guaraná Fantástica	5,03	29	0%	23.08.2023	Getränke	Bauer Handel	Österreich	Dodsworth
30	Nord-Ost Matjeshering	30,94	61	25%	23.08.2023	Meeresfrüchte	Bauer Handel	Österreich	Dodsworth
74	Longlife Tofu	8,86	38	25%	23.08.2023	Naturprodukte	Bauer Handel	Österreich	Dodsworth
56	Gnocchi di nonna Alice	43,55	29	0%	23.08.2023	Getreideprodukte	Norberts Spezialitäten	Deutschland	Peacock
2	Chang	20,09	37	0%	24.08.2023	Getränke	Folk och fä HB	Schweden	Suyama
41	Jack's New England Clam Chowder	10,84	27	15%	24.08.2023	Meeresfrüchte	Folk och fä HB	Schweden	Suyama
1	Chai	24,43	5	0%	24.08.2023	Getränke	Du monde entier	Frankreich	King
10	Ikura	39,04	12	0%	24.08.2023	Meeresfrüchte	Du monde entier	Frankreich	King
21	Sir Rodney's Scones	11,87	7	0%	24.08.2023	Süßwaren	Du monde entier	Frankreich	King
17	Alice Mutton	45,82	32	0%	25.08.2023	Fleischprodukte	Blondel père et fils	Frankreich	Fuller
70	Outback Lager	15,42	20	0%	25.08.2023	Getränke	Blondel père et fils	Frankreich	Fuller
36	Inlagd Sill	27,62	23	25%	25.08.2023	Meeresfrüchte	La maison d'Asie	Frankreich	Callahan
1	Chai	24,91	8	0%	25.08.2023	Getränke	Wolski  Zajazd	Polen	Suyama
2	Chang	25,37	12	0%	25.08.2023	Getränke	Wolski  Zajazd	Polen	Suyama
60	Camembert Pierrot	38,27	17	0%	25.08.2023	Milchprodukte	Wolski  Zajazd	Polen	Suyama
12	Queso Manchego La Pastora	32,15	14	5%	26.08.2023	Milchprodukte	Wartian Herkku	Finnland	Leverling
10	Ikura	32,37	70	0%	28.08.2023	Meeresfrüchte	Save-a-lot Markets	USA	Davolio
